,player,salary,year,perc,perc_score,team,uuid
175,Mike James,6244093.0,2008,0.08826406881656397,7.791,WSH,bb2524c6-5ac8-43c1-87c8-623e34750b92
176,Brendan Haywood,5500000.0,2008,0.07774585972552008,6.044,WSH,f07acb84-9579-4176-ad13-c9e9c8dd8490
177,Darius Songaila,4235000.0,2008,0.059864311988650463,3.584,WSH,59121184-0cb4-4af4-9a86-561e29511dd1
178,DeShawn Stevenson,3616072.0,2008,0.05111538663079652,2.613,WSH,974162ac-0cdd-42da-afeb-ef74b89095db
179,Andray Blatche,2739669.0,2008,0.038726894866973796,3.873,WSH,6bebc7ba-fabc-4333-8834-fb1ffb444650
180,Nick Young,1602960.0,2008,0.02265881878283994,2.266,WSH,67e5f905-ee48-474b-bc18-45f6bb8d7352
181,Oleksiy Pecherov,1446720.0,2008,0.020450270942200803,2.045,WSH,d6e821c8-e86d-4d34-970f-51cbd2854b39
182,JaVale McGee,1392240.0,2008,0.019680162862592377,1.968,WSH,6220b234-7941-44ed-84f1-9c2d44fd7fb9
183,Javaris Crittenton,1381560.0,2008,0.019529194538616276,1.953,WSH,61afa61e-0edc-48b8-823f-fd92ad0e3797
184,Juan Dixon,998398.0,2008,0.014112965610589053,1.411,WSH,f457a8ff-dcc0-4ea1-a964-e075cce98ab6
185,Dominic McGuire,711517.0,2008,0.010057727431695068,1.006,WSH,547dbb1b-f4f9-474b-978c-58b5ca1c2d1a
186,Jermaine O'Neal,21372000.0,2008,0.30402409864685803,92.431,MIA,45cea8b4-0319-4aac-9f62-1dc0f13900e9
187,Dwyane Wade,14410581.0,2008,0.20499550343919792,42.023,MIA,911c5842-c4ce-4684-a479-31e7220e6277
188,Mark Blount,8513916.0,2008,0.12111340248245663,14.668,MIA,11bbc2a9-70f0-4d8e-b64c-91c13bc54d05
189,Udonis Haslem,6575000.0,2008,0.09353165116054143,8.748,MIA,4dc4d675-85a3-4d26-b601-3a34e1f6eab7
190,Michael Beasley,4314960.0,2008,0.061381799770599224,3.768,MIA,1fce88ac-f9aa-49c1-ae37-08a14856dfa2
191,James Jones,4010000.0,2008,0.057043638198292196,3.254,MIA,73314c74-f00a-476f-aa94-e04bfc80d491
192,Dorell Wright,2612835.0,2008,0.03716848239696628,3.717,MIA,8d19fa58-5d7c-49eb-9712-a43a2d02db6d
193,Smush Parker,1660000.0,2008,0.02361407466562719,2.361,MIA,c7141dc4-9beb-4338-bb93-bdebafaa71ba
